RacerID,Course,RacesRun,QuinellaRate,TrifectaRate,FirstPlaceRate,AvgStartTiming,Nige,Makuri,Sashi
2844,4,946,29.1,51.0,9.3,0.21,0,38,21
2844,5,683,14.7,32.3,4.1,0.21,0,9,5
2844,6,362,8.5,21.5,1.6,0.22,0,2,0
2876,1,2987,52.9,65.8,34.8,0.17,946,0,1
2876,2,2276,33.5,48.2,14.8,0.19,0,118,172
2876,3,523,30.5,43.7,16.4,0.19,0,40,23
2876,4,103,18.4,32.0,5.8,0.23,0,3,1
2876,5,16,25.0,31.2,12.5,0.23,0,1,0
2876,6,15,13.3,33.3,6.6,0.24,0,0,0
2878,1,1412,64.8,80.1,34.8,0.19,415,0,0
2878,2,1424,48.4,68.9,19.8,0.2,0,67,165
2878,3,1411,40.5,63.0,19.2,0.2,0,84,69
2878,4,1496,39.5,61.7,15.7,0.19,0,92,48
2878,5,1186,25.1,47.8,8.5,0.2,0,31,16
2878,6,517,12.1,33.6,1.5,0.22,0,1,2
2883,1,638,36.5,53.4,18.1,0.23,101,0,1
2883,2,633,31.6,49.9,14.8,0.23,0,24,54
2883,3,699,26.3,44.4,12.3,0.21,0,41,22
2883,4,676,28.2,45.5,12.4,0.22,0,47,14
2883,5,623,17.9,32.9,6.7,0.23,0,17,9
2883,6,553,9.7,23.3,1.9,0.26,0,0,5
2887,1,960,45.2,63.0,22.7,0.2,171,0,2
2887,2,1030,36.8,57.3,12.9,0.22,0,20,78
2887,3,808,25.2,45.6,7.6,0.22,0,19,12
2887,4,530,19.8,40.1,5.8,0.23,0,9,6
2887,5,419,14.3,34.3,4.3,0.23,0,1,3
2887,6,293,6.8,22.1,0.3,0.22,0,0,0
2903,1,1173,61.0,75.1,39.9,0.19,423,0,0
2903,2,1424,45.1,67.7,20.2,0.19,1,78,168
2903,3,1079,38.5,59.6,18.0,0.17,0,75,46
2903,4,1158,34.3,55.2,14.8,0.18,0,69,49
2903,5,740,23.5,43.9,8.1,0.18,0,11,17
2903,6,249,12.4,33.3,4.0,0.2,0,0,4
2907,1,1090,23.3,40.8,10.3,0.24,88,0,1
2907,2,837,19.4,37.8,4.6,0.23,0,11,20
2907,3,706,17.9,35.8,6.0,0.22,0,15,9
